연월,소고기 가격,돼지고기 가격
2025.07,8400,2800
2025.01,9400,2540
2024.07,7300,2800
2024.01,11500,2400
2023.07,8000,2480
2023.01,10800,2680
2022.07,11600,2480
2022.01,11600,2480
2021.07,10400,2680
2021.01,10300,2480
2020.07,9800,2470
2020.01,8700,1590
2019.07,8700,2100
2019.01,8700,1690
2018.07,8500,2600
2018.01,8000,2200
2017.07,6000,1300
2017.01,6200,1400
2016.07,6200,1300
2016.01,5800,1500
2015.07,6360,1500
2015.01,4700,1200
2014.07,5700,1350
2014.01,5000,1300
2013.07,4000,1130
2013.01,4000,1100
2012.07,3350,850
2012.01,3000,1400
2011.07,1400,1100
2011.01,4000,1300
2010.07,3800,950
2010.01,3500,850
2009.07,3000,900
2009.01,3228,996
